"gene_name","F_statistic","p_value_raw","p_value_bonf","p_value_fdr","significant","rank_anova"
"gene_119",69.0814346596221,0.000000000000000000000000000000000000000000000392533287420008,0.00000000000000000000000000000000000000000695804505280706,0.00000000000000000000000000000000000000000000152354829271011,TRUE,4567
"gene_120",32.4256165957055,0.00000000000000000000000626910020173746,0.000000000000000000111126070175998,0.0000000000000000000000112692495868571,TRUE,9861
"gene_121",110.255683564653,0.0000000000000000000000000000000000000000000000000000000000000000016277781424615,0.0000000000000000000000000000000000000000000000000000000000000288539953532725,0.0000000000000000000000000000000000000000000000000000000000000000134580202207428,TRUE,2144
"gene_122",208.049503580537,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000334101549270691,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000592228406237227,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101757458116362,TRUE,582
"gene_123",63.2056462818479,0.000000000000000000000000000000000000000000715866103792578,0.0000000000000000000000000000000000000126894425558272,0.00000000000000000000000000000000000000000245871779806767,TRUE,5161
"gene_124",21.2831165935132,0.000000000000000360645931476033,0.00000000000639280978134416,0.000000000000000508576752692455,TRUE,12570
"gene_125",42.1507084227769,0.00000000000000000000000000000276961056726259,0.0000000000000000000000000490941169152967,0.00000000000000000000000000000611612270029858,TRUE,8027
"gene_126",66.3739861856858,0.0000000000000000000000000000000000000000000121315760088763,0.000000000000000000000000000000000000000215044316333341,0.0000000000000000000000000000000000000000000445780091901619,TRUE,4824
"gene_127",98.0757024263397,0.000000000000000000000000000000000000000000000000000000000000689297460630724,0.0000000000000000000000000000000000000000000000000000000122184867871402,0.00000000000000000000000000000000000000000000000000000000000457107623910969,TRUE,2673
"gene_128",23.456286531156,0.0000000000000000100401532503721,0.000000000000177971756516095,0.0000000000000000148619420890267,TRUE,11975
"gene_129",70.7346294880173,0.0000000000000000000000000000000000000000000000494675749587049,0.000000000000000000000000000000000000000000876862233718003,0.00000000000000000000000000000000000000000000019816095677243,TRUE,4425
"gene_130",32.4645014426531,0.00000000000000000000000590260557925345,0.000000000000000000104629586497847,0.0000000000000000000000106222930454667,TRUE,9850
"gene_131",67.1517544957947,0.00000000000000000000000000000000000000000000450513610208773,0.0000000000000000000000000000000000000000798580425456071,0.000000000000000000000000000000000000000000016783951775033,TRUE,4758
"gene_132",96.3126772815346,0.00000000000000000000000000000000000000000000000000000000000477084054426318,0.0000000000000000000000000000000000000000000000000000000845679194876092,0.0000000000000000000000000000000000000000000000000000000000307073055510563,TRUE,2754
"gene_133",102.860916847914,0.00000000000000000000000000000000000000000000000000000000000000390354101381024,0.0000000000000000000000000000000000000000000000000000000000691941680108004,0.0000000000000000000000000000000000000000000000000000000000000283002732150513,TRUE,2445
"gene_134",217.414081668904,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402552560785414,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000713564669248225,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133127736800042,TRUE,536
"gene_135",47.8764617795422,0.00000000000000000000000000000000073978257367313,0.0000000000000000000000000000131133859009299,0.00000000000000000000000000000000183918455833519,TRUE,7130
"gene_136",56.8410330333442,0.00000000000000000000000000000000000000319726760422861,0.0000000000000000000000000000000000566747655525564,0.00000000000000000000000000000000000000960914980545208,TRUE,5898
"gene_137",32.915402101676,0.00000000000000000000000293856117635373,0.0000000000000000000520889354120463,0.00000000000000000000000534026403650259,TRUE,9754
"gene_138",15.473786941806,0.00000000000652571235964685,0.0000001156747772871,0.00000000000812322874207163,TRUE,14240
"gene_139",17.1501491233865,0.000000000000372744571319535,0.00000000660727027121008,0.000000000000479308688517235,TRUE,13785
"gene_140",61.3337552221473,0.00000000000000000000000000000000000000000822756552144305,0.0000000000000000000000000000000000001458418264331,0.0000000000000000000000000000000000000000272042205620406,TRUE,5361
"gene_141",221.600809623224,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211751559127128,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000375350813708748,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000731677999432257,TRUE,513
