"gene_name","MI_score","p_value","p_adj_bonf","p_adj_fdr","significant","rank_mi"
"gene_592",0.713284964380253,0.005,1,0.00516311313060701,TRUE,576
"gene_593",0.491159773094938,0.005,1,0.00516311313060701,TRUE,2911
"gene_594",0.433484805964905,0.005,1,0.00516311313060701,TRUE,4147
"gene_597",0.444343130133498,0.005,1,0.00516311313060701,TRUE,3867
"gene_598",0.372916939067524,0.005,1,0.00516311313060701,TRUE,5875
"gene_599",0.19517664886861,0.005,1,0.00516311313060701,TRUE,13332
"gene_600",0.204509519785534,0.005,1,0.00516311313060701,TRUE,12859
"gene_601",0.138947111350989,0.005,1,0.00516311313060701,TRUE,15818
"gene_602",0.209926393716268,0.005,1,0.00516311313060701,TRUE,12582
"gene_603",0.0867134246639285,0.005,1,0.00516311313060701,TRUE,17385
"gene_604",0.134177851976284,0.005,1,0.00516311313060701,TRUE,16003
"gene_605",0.290542644202984,0.005,1,0.00516311313060701,TRUE,8956
"gene_606",0.118069947117697,0.005,1,0.00516311313060701,TRUE,16579
"gene_607",0.0685126730468602,0.015,1,0.0153021408839779,TRUE,17618
"gene_609",0.834247256400366,0.005,1,0.00516311313060701,TRUE,209
"gene_611",0.268457740892178,0.005,1,0.00516311313060701,TRUE,9878
"gene_612",0.135097060622869,0.005,1,0.00516311313060701,TRUE,15960
"gene_613",0.676902571888108,0.005,1,0.00516311313060701,TRUE,749
"gene_614",0.426707051563612,0.005,1,0.00516311313060701,TRUE,4310
"gene_615",0.188483297572341,0.005,1,0.00516311313060701,TRUE,13627
"gene_618",0.320086788370083,0.005,1,0.00516311313060701,TRUE,7719
"gene_619",0.285606468904571,0.005,1,0.00516311313060701,TRUE,9156
"gene_620",0.0943486294423908,0.01,1,0.0102438742487286,TRUE,17218
"gene_621",0.343630162107009,0.005,1,0.00516311313060701,TRUE,6845
"gene_622",0.369087096621388,0.005,1,0.00516311313060701,TRUE,6005
"gene_623",0.307485981260874,0.005,1,0.00516311313060701,TRUE,8235
"gene_624",0.213273089972577,0.005,1,0.00516311313060701,TRUE,12447
"gene_625",0.19675011780478,0.005,1,0.00516311313060701,TRUE,13250
"gene_626",0.247744894582008,0.005,1,0.00516311313060701,TRUE,10771
"gene_627",0.321333525419093,0.005,1,0.00516311313060701,TRUE,7678
"gene_628",1.0244153697458,0.005,1,0.00516311313060701,TRUE,26
"gene_629",0.515699984967278,0.005,1,0.00516311313060701,TRUE,2494
"gene_630",0.294122633527461,0.005,1,0.00516311313060701,TRUE,8815
"gene_631",0.205953373038567,0.005,1,0.00516311313060701,TRUE,12772
"gene_632",0.161729513334622,0.005,1,0.00516311313060701,TRUE,14852
"gene_633",0.313672147356707,0.005,1,0.00516311313060701,TRUE,7983
"gene_634",0.307505556761657,0.005,1,0.00516311313060701,TRUE,8233
"gene_635",0.499366750786248,0.005,1,0.00516311313060701,TRUE,2770
"gene_637",0.367111905550082,0.005,1,0.00516311313060701,TRUE,6067
"gene_638",0.547752524527348,0.005,1,0.00516311313060701,TRUE,2003
"gene_639",0.348529692189563,0.005,1,0.00516311313060701,TRUE,6661
"gene_640",0.161647321839038,0.005,1,0.00516311313060701,TRUE,14858
"gene_641",0.375921094311447,0.005,1,0.00516311313060701,TRUE,5785
"gene_642",0.147693248575071,0.005,1,0.00516311313060701,TRUE,15444
"gene_643",0.297468770696185,0.005,1,0.00516311313060701,TRUE,8662
"gene_644",0.138103671712916,0.005,1,0.00516311313060701,TRUE,15855
"gene_645",0.285857545144408,0.005,1,0.00516311313060701,TRUE,9137
"gene_646",0.185731404199548,0.005,1,0.00516311313060701,TRUE,13763
"gene_647",0.189679089015494,0.005,1,0.00516311313060701,TRUE,13577
"gene_648",0.197491499823755,0.005,1,0.00516311313060701,TRUE,13211
"gene_649",0.253795083776223,0.005,1,0.00516311313060701,TRUE,10531
"gene_650",0.13978134336397,0.005,1,0.00516311313060701,TRUE,15774
"gene_651",0.150412003833178,0.005,1,0.00516311313060701,TRUE,15338
